id,name,type,address_original,address,gold_district,gold_ward,gold_price_range,gold_duration,gold_target_audience
6351606,Asiana Link Travel,Chuyến tham quan văn hóa • Chuyến tham quan bằng thuyền,"Thành phố Hồ Chí Minh, 700000","80 Hàm Nghi, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
317890,Dinh Độc Lập,Địa điểm lịch sử • Tòa nhà kiến trúc,"106 Nguyen Du District 1, Thành phố Hồ Chí Minh, 700000","135 Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
317896,Nhà thờ Đức Bà Sài Gòn,Nhà thờ & nhà thờ lớn,"01 Công Trường Công Xã Paris Phường Bến Nghé, Thành phố Hồ Chí Minh, 700000","1 Công trường Công xã Paris, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Bến Nghé,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
8263413,Deluxe Group Tours,Chuyến tham quan văn hóa • Chuyến tham quan lịch sử & di sản,"Thành phố Hồ Chí Minh, 700000","13bis Kỳ Ðồng, Thành phố Hồ Chí Minh",Quận 3,Xuân Hòa,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
17543751,SST TRAVEL,Tour thăm quan thành phố • Chuyến tham quan nhiều ngày,"57 Le Thi Hong Gam, Nguyen Thai Binh Ward, District 1, HCM 102 Cong Quynh, Pham Ngu Lao Ward, District 1, HCM, Thành phố Hồ Chí Minh, 700000","57 Le Thi Hong Gam, Nguyen Thai Binh Ward, District 1, HCM 102 Cong Quynh, Pham Ngu Lao Ward, District 1, HCM, Thành phố Hồ Chí Minh, 700000",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2044621,XO Tours,Tour thăm quan thành phố • Chuyến tham quan ban đêm,"611/111 Dien Bien Phu Street , Thành phố Hồ Chí Minh, 70000","686 Ðiện Biên Phủ, Thành phố Hồ Chí Minh",Quận 3,Xuân Hòa,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
6982572,Indochina Heritage Travel,Tour thăm quan thành phố • Chuyến tham quan lịch sử & di sản,Thành phố Hồ Chí Minh,"161/4 Đường Cây Điệp, Phường Tân Định, Thành phố Hồ Chí Minh",Quận 1,Tân Định,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2037764,Tháp Tài Chính Bitexco,Điểm thu hút khách tham quan & thắng cảnh • Đài & tháp quan sát,"36 Hồ Tùng Mậu Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 700000","02 Hải Triều, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Bến Nghé,100.000–500.000 VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
10117391,Street Food Man,Chuyến tham quan đi dạo • Chuyến tham quan ban đêm,Thành phố Hồ Chí Minh,"15 Hẻm 199 Đường Cách Mạng Tháng 8, Phường Bàn Cờ, Thành phố Hồ Chí Minh",Quận 3,Bàn Cờ,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
1837685,Intrepid Urban Adventures,Tour thăm quan thành phố • Chuyến tham quan đi dạo,"Thành phố Hồ Chí Minh, 70000","64 Nguyễn Đình Chiểu, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
27173896,ACE TRAVELS,Chuyến đi trong ngày,"47 Phan Chu Trinh Ben Thanh, D 1, Thành phố Hồ Chí Minh, 70000","47 Phan Chu Trinh Ben Thanh, D 1, Thành phố Hồ Chí Minh, 70000",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
13421912,Saigon Back Alley Tours,Chuyến tham quan đi dạo • Chuyến tham quan ban đêm,"200/30 Xom Chieu Ward 16, District 7, Thành phố Hồ Chí Minh, 700000","30 Xóm Chiếu, Phường Xóm Chiếu, Thành phố Hồ Chí Minh",Quận 7,Phường 16,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
15528737,HANA TOURIST VIP,Tour thăm quan thành phố • Chuyến tham quan nhiều ngày,"172 Bùi Viện Quận 1, Thành phố Hồ Chí Minh, 70000","176 Đường Bùi Viện, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
1746272,Les Rives Authentic River Experience,Tour thăm quan thành phố • Chuyến tham quan lịch sử & di sản,"1A Cong Truong Me Linh, District 1 Ibc Building, 1st Floor, Room 15, Thành phố Hồ Chí Minh, 700000","1A Công trường Mê Linh, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
17212823,Saigon Vibes,Chuyến tham quan bằng mô tô • Chuyến tham quan ban đêm,"Ben Thanh market, District 1 , Thành phố Hồ Chí Minh, 700000","251 a, Phường Long Trường, Thành phố Hồ Chí Minh",Quận 1,Long Trường,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
454974,Nhà hát Thành Phố Hồ Chí Minh,Rạp hát,"07 Lam Son Square Street District 1, Thành phố Hồ Chí Minh, 700000","7 Công trường Lam Sơn, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2004786,Vespa Adventures,Tour thăm quan thành phố • Chuyến tham quan ban đêm,Thành phố Hồ Chí Minh,"169A Đường Trần Hưng Đạo, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–1.500.000 VNĐ,3–8 giờ,Người trưởng thành; Cặp đôi; Khách muốn thư giãn
10836066,Vietnam To Travel,Chuyến tham quan lịch sử & di sản • Chuyến tham quan bằng xe đạp,"59 đường Vành Đai Tây, KP4, An Khánh, Thành Phố Thủ Đức, TPHCM Văn Phòng: 67 Thủ Khoa Huân, Phường Bến Thành, Tp Hồ Chí Minh , Thành phố Hồ Chí Minh, 700000","Khu công nghiệp Mỹ Tho, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
317893,Quảng trường Hồ Chí Minh,Điểm thu hút khách tham quan & thắng cảnh,"Nguyen Hue Walking Street, District 1 , Thành phố Hồ Chí Minh, 70000","8 Đường An Dương Vương, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
4097768,Saigon River Tour,Chuyến tham quan lịch sử & di sản • Chuyến tham quan bằng thuyền,"Thành phố Hồ Chí Minh, 700000","Tôn Đức Thắng, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2264651,Back of the Bike Tours,Chuyến tham quan tư nhân • Chuyến tham quan ẩm thực,"68 Nguyen Hue street, District 1 , Thành phố Hồ Chí Minh, 70000","68a Nguyễn Huệ, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
4542125,À Ố Show - Lune Production,Rạp hát,"7 Cong Truong Lam Son District 1, Thành phố Hồ Chí Minh, 700000","7 Công trường Lam Sơn, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–1.500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
7339849,Temple Leaf Spa & Sauna,Spa,"32 Thai Van Lung District 1, Thành phố Hồ Chí Minh, 70000","36-38 Thái Văn Lung, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–1.500.000 VNĐ,1–2 giờ,Người trưởng thành; Cặp đôi; Khách muốn thư giãn
5505885,Đường Bùi Viện,Điểm thu hút khách tham quan & thắng cảnh,"Quận 1 , Thành phố Hồ Chí Minh, 700000","27 Đường Bùi Viện, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
10694795,Kisstour,Tour thăm quan thành phố • Chuyến tham quan bằng xe đạp,"Thành phố Hồ Chí Minh, 700000","Hẻm 247 Đường Nguyễn Xí, Phường Bình Lợi Trung, Thành phố Hồ Chí Minh",Quận Bình Thạnh,Bình Lợi Trung,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
8610811,VN Bike Tour,Tour thăm quan thành phố • Chuyến tham quan bằng mô tô,"Thành phố Hồ Chí Minh, 700000","25 Nguyễn Thần Hiến, Phường Xóm Chiếu, Thành phố Hồ Chí Minh",Quận 4,Xóm Chiếu,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
10005057,Ben Nghe Street Food,Chợ trời & chợ đường phố,"134, 136 Nam Kỳ Khởi Nghĩa , Thành phố Hồ Chí Minh, 700000","134 Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
24977107,Kim Delta Travel,Chuyến tham quan bằng thuyền • Chuyến tham quan ngắm cảnh,"268 De Tham , Thành phố Hồ Chí Minh, 700000","254 Ðề Thám, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
5970625,Temple Leaf Spa,Spa,"74 / 1 Hai Ba Trung, Ben Nghe Ward, District 1 , Thành phố Hồ Chí Minh, 70000","74/6 Hai Bà Trưng, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–1.500.000 VNĐ,1–2 giờ,Người trưởng thành; Cặp đôi; Khách muốn thư giãn
19323919,Joy Journeys,Tour thăm quan thành phố • Chuyến tham quan nhiều ngày,"30A Ho Hao Hon 2nd Floor, Thành phố Hồ Chí Minh, 700000","218 Phan Văn Hân, Phường Gia Định, Thành phố Hồ Chí Minh",Quận Bình Thạnh,Gia Định,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
1784754,Đường Đồng Khởi,Điểm thu hút khách tham quan & thắng cảnh,"Thành phố Hồ Chí Minh, 700000","151 Ðồng Khởi, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
1489190,Nhà Hát Múa Rối Nước Rồng Vàng,Rạp hát,"55B Nguyen Thi Minh Khai Quận 1, Thành phố Hồ Chí Minh","55B Đường Nguyễn Thị Minh Khai, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
8290115,Phố đi bộ Nguyễn Huệ,Điểm thu hút khách tham quan & thắng cảnh,"Đường Nguyễn Huệ , Thành phố Hồ Chí Minh, 70000","115 Nguyễn Huệ, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
317898,Notre Dame Square,Điểm thu hút khách tham quan & thắng cảnh,"01 Công xã Paris , Thành phố Hồ Chí Minh, 700000","1 Công trường Công xã Paris, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
317904,Thảo Cầm Viên,Sở thú,"2 Đ. Nguyễn Bỉnh Khiêm Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 700000","2 Nguyễn Thị Minh Khai, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
13073660,AN Tours Vietnam,Tour thăm quan thành phố • Chuyến tham quan đi dạo,"85 Hoang Sa, Tan Dinh Ward , Thành phố Hồ Chí Minh, 700000","3/2 Nguyễn Văn Thủ, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
8765849,Onetrip Adventures,Chuyến tham quan văn hóa • Chuyến tham quan bằng mô tô,"212/2b1 Nguyen Trai ,Ward Cau Ong Lanh The Joi Factory At Christina's, Thành phố Hồ Chí Minh, 700000","Hẻm 212B Nguyễn Trãi, Phường Cầu Ông Lãnh, Thành phố Hồ Chí Minh",Quận 1,Cầu Ông Lãnh,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
3948543,Saigon Hotpot - Travel With Local Youth,Tour thăm quan thành phố • Chuyến tham quan văn hóa,Thành phố Hồ Chí Minh,"35 Hàn Thuyên, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2273343,Phạm Ngũ Lão,Điểm thu hút khách tham quan & thắng cảnh,"District 1 , Thành phố Hồ Chí Minh","183 Đường Phạm Ngũ Lão, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
3677899,HCM Cooking Class,Lớp nấu ăn,"275 Tỉnh Lộ 2 Ấp 3, Phước Vĩnh An, Thành phố Hồ Chí Minh, 733016","Tỉnh Lộ 2, Xã Củ Chi, Thành phố Hồ Chí Minh",Huyện Củ Chi,Củ Chi,500.000–1.500.000 VNĐ,2–4 giờ,Khách quốc tế; Người yêu ẩm thực; Gia đình
8647034,Jeep Tour Saigon By Night,Tour thăm quan thành phố • Chuyến tham quan ban đêm,Thành phố Hồ Chí Minh,"69 Cô Giang, Phường Cầu Ông Lãnh, Thành phố Hồ Chí Minh",Quận 1,Cầu Ông Lãnh,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2336225,Skybar thư giãn,Quán bar & câu lạc bộ,"Số 76A đường Lê Lai Phường Bến Thành, Tòa nhà AB, Thành phố Hồ Chí Minh, 70000","18-20 Đường Nguyễn Thái Học, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,100.000–500.000 VNĐ,2–4 giờ,Người trưởng thành; Nhóm bạn; Khách yêu thích nightlife
3749935,Saigon Heritage Spa,Spa,"69 Hai Bà Trưng, Bến Nghé, Quận 1 , Thành phố Hồ Chí Minh, 70000","65-67 Hai Bà Trưng, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–1.500.000 VNĐ,1–2 giờ,Người trưởng thành; Cặp đôi; Khách muốn thư giãn
7339857,Scooter Saigon Exclusive Tours,Tour thăm quan thành phố • Chuyến tham quan ẩm thực,Thành phố Hồ Chí Minh,"1648 Võ Văn Kiệt, Thành phố Hồ Chí Minh",Quận 6,Cầu Ông Lãnh,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
311094,Chùa Ngọc Hoàng (Phước Hải Tự),Địa điểm tôn giáo,"73 Mai Thi Luu , Thành phố Hồ Chí Minh, 700000","74A Mai Thị Lựu, Phường Tân Định, Thành phố Hồ Chí Minh",Quận 1,Tân Định,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
15522949,PAPA HOLIDAY VIETNAM,Chuyến tham quan nhiều ngày • Taxi & xe đưa đón,"175/8 Pham Ngu Lao - District 1  Ho Chi Minh City, Thành phố Hồ Chí Minh, 700000","133 Đường Bùi Viện, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
1752815,Saigon Saigon Rooftop Bar,Quán bar & câu lạc bộ tạm thời,"19-23 Lam Son Square Rooftop via 10th Floor, Caravelle Saigon, Thành phố Hồ Chí Minh, 70000","Caravelle Premium Deluxe, HC, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,100.000–500.000 VNĐ,1–2 giờ,Người trưởng thành; Nhóm bạn; Khách yêu thích nightlife
7194403,Ginkgo Voyage Private Day Tours,Tour thăm quan thành phố • Chuyến tham quan nhiều ngày,"107 Đồng Khởi, Phường Bến Thành, Quận 1 Lầu 1, Thành phố Hồ Chí Minh, 700000","252 Ðề Thám, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,4–6 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
17379413,Heritage Line - Refined Waterway Voyages,Chuyến tham quan nhiều ngày • Chuyến tham quan bằng thuyền,"2/27 Quach Van Tuan, Ward 12, Tan Binh District , Thành phố Hồ Chí Minh, 700000","648 Trường Sa, Phường Phú Nhuận, Thành phố Hồ Chí Minh",Quận Tân Bình,Phú Nhuận,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
3617391,Saigon Street Eats,Chuyến tham quan ẩm thực,Thành phố Hồ Chí Minh,"24 Đường số 32, Phường An Khánh, Thành phố Hồ Chí Minh",TP Thủ Đức,An Khánh,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
18830093,VietCruise Tours,Chuyến tham quan nhiều ngày • Taxi & xe đưa đón,"No 2 Cong Xa Pari, Dist 1, Ho Chi Minh city Saigon Central Post office, Thành phố Hồ Chí Minh, 70000","Phước Thiện, Phường Long Bình, Thành phố Hồ Chí Minh",TP Thủ Đức,Long Bình,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
24131945,AN TRAVEL,Chuyến tham quan nhiều ngày • Taxi & xe đưa đón,"165 Phạm Ngũ Lão Street, Phạm Ngũ Lão Ward, District 1 , Thành phố Hồ Chí Minh, 70000","165 Phạm Ngũ Lão Street, Phạm Ngũ Lão Ward, District 1 , Thành phố Hồ Chí Minh, 70000",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
455387,Ho Chi Minh City Museum of Fine Arts,Viện bảo tàng nghệ thuật,"97a Pho Duc Chinh Nguyen Thai Binh Ward, District 1, Thành phố Hồ Chí Minh, 70000","97A Đường Phó Đức Chính, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,0–100.000 VNĐ,"1,5–3 giờ",Người yêu lịch sử; Khách quốc tế; Sinh viên
2273335,Chùa Bà Thiên Hậu,Địa điểm tôn giáo,"710 Nguyen Trai Cho Lon, District 5, Thành phố Hồ Chí Minh","710 Đường Nguyễn Trãi, Phường Chợ Lớn, Thành phố Hồ Chí Minh",Quận 5,Chợ Lớn,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
8602875,Chef Vu Cooking Class,Lớp nấu ăn,"133 Đ. Nguyễn Du Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 70000","112 Nguyễn Du, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,500.000–1.500.000 VNĐ,2–4 giờ,Khách quốc tế; Người yêu ẩm thực; Gia đình
4795476,Phan's Custom Tailor,Cửa hàng đặc sản & cửa hàng quà tặng,"D9 St, Saigon Pearl , Thành phố Hồ Chí Minh, 700000","92 Nguyễn Hữu Cảnh, Phường Thạnh Mỹ Tây, Thành phố Hồ Chí Minh",Quận Bình Thạnh,Thạnh Mỹ Tây,Giá tùy sản phẩm/dịch vụ,1–2 giờ,Người thích mua sắm; Khách du lịch; Nhóm bạn
2475475,Sai Gon Square,Trung tâm mua sắm,"77-89 Đ. Nam Kỳ Khởi Nghĩa , Thành phố Hồ Chí Minh, 70000","65 Lê Lợi, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,Miễn phí tham quan; chi phí tùy dịch vụ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
454975,Bảo Tàng Lịch Sử Việt Nam,Viện bảo tàng lịch sử,"2 Nguyen Binh Khiem Street , Thành phố Hồ Chí Minh, 70000","2 Nguyễn Thị Minh Khai, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
19163793,102 Saigonese,Tour thăm quan thành phố • Chuyến tham quan nhiều ngày,"Số 7 Công trường Lam Sơn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam Opera House, Thành phố Hồ Chí Minh, 700000","21 Nguyễn Văn Tráng, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Nghé,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
4480894,Roadstour Vietnam - Private Tours,Tour thăm quan thành phố • Chuyến tham quan nhiều ngày,"09 Hoa Sua Street, Ward 7 Phu Nhuan District, Thành phố Hồ Chí Minh, 700000","Hoa Sữa, Phường Cầu Kiệu, Thành phố Hồ Chí Minh",Quận Phú Nhuận,Cầu Kiệu,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
6387515,Saigon Food Tour,Chuyến tham quan ẩm thực,Thành phố Hồ Chí Minh,"133 Dương Bá Trạc, Phường Chánh Hưng, Thành phố Hồ Chí Minh",Quận 8,Chánh Hưng,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2435196,Tiger Tours Co. Ltd.,Chuyến tham quan nhiều ngày • Núi,"Block C, Ground floor #109, Tan Dinh Ward, District 1Phố Lý Văn Phức Lô C #109 Chung cư Lý Văn Phức, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, 700000","32A Thạch Thị Thanh, Phường Tân Định, Thành phố Hồ Chí Minh",Quận 1,Tân Định,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
14051467,Club V E-Gaming,Sòng bạc • Trung tâm trò chơi & giải trí,"148 Tran Hung Dao Cau Ong Lanh Ward, Thành phố Hồ Chí Minh, 700000","Nguyễn Cư Trinh, Phường Cầu Ông Lãnh, Thành phố Hồ Chí Minh",Quận 1,Cầu Ông Lãnh,100.000–500.000 VNĐ,2–4 giờ,Người trưởng thành; Nhóm bạn; Khách yêu thích nightlife
13391755,Private Daily Tours,Tour thăm quan thành phố • Chuyến tham quan văn hóa,Thành phố Hồ Chí Minh,"88 Ðồng Khởi, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2226088,Water Buffalo Tours,Chuyến tham quan ngắm cảnh • Chuyến tham quan tư nhân,"Thành phố Hồ Chí Minh, 700000","356 Đường Hồng Bàng, Phường Chợ Lớn, Thành phố Hồ Chí Minh",Quận 5,Chợ Lớn,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
